1.236727000E+6	-9.993559564E-1	1.415418049E-3
2.173454000E+6	-9.987050726E-1	9.851081776E-3
3.110181000E+6	-9.983047479E-1	1.757895574E-2
4.046908000E+6	-9.979485599E-1	2.496209715E-2
4.983635000E+6	-9.974830379E-1	3.228459049E-2
5.920362000E+6	-9.970044433E-1	3.953368533E-2
6.857089000E+6	-9.964937382E-1	4.678433210E-2
7.793816000E+6	-9.959471956E-1	5.401263546E-2
8.730543000E+6	-9.953929054E-1	6.133684446E-2
9.667270000E+6	-9.946339666E-1	6.851338605E-2
1.060399700E+7	-9.940562354E-1	7.567623608E-2
1.154072400E+7	-9.934181015E-1	8.289534330E-2
1.247745100E+7	-9.925373768E-1	8.994199118E-2
1.341417800E+7	-9.918308439E-1	9.716512266E-2
1.435090500E+7	-9.910389722E-1	1.042598309E-1
1.528763200E+7	-9.899486470E-1	1.113391753E-1
1.622435900E+7	-9.891026539E-1	1.185092682E-1
1.716108600E+7	-9.879887298E-1	1.256279580E-1
1.809781300E+7	-9.869590511E-1	1.325358246E-1
1.903454000E+7	-9.858839949E-1	1.396163897E-1
1.997126700E+7	-9.848611112E-1	1.465835022E-1
2.090799400E+7	-9.836552810E-1	1.536998276E-1
2.184472100E+7	-9.825363859E-1	1.608328211E-1
2.278144800E+7	-9.810028616E-1	1.677482422E-1
2.371817500E+7	-9.795522899E-1	1.747578372E-1
2.465490200E+7	-9.785274223E-1	1.819262631E-1
2.559162900E+7	-9.769436467E-1	1.886850665E-1
2.652835600E+7	-9.754673266E-1	1.957852735E-1
2.746508300E+7	-9.740286133E-1	2.029192815E-1
2.840181000E+7	-9.724579838E-1	2.098265152E-1
2.933853700E+7	-9.708263529E-1	2.166891516E-1
3.027526400E+7	-9.692079093E-1	2.234895736E-1
3.121199100E+7	-9.674092696E-1	2.303727196E-1
3.214871800E+7	-9.656236834E-1	2.372960941E-1
3.308544500E+7	-9.638316943E-1	2.443087620E-1
3.402217200E+7	-9.618722176E-1	2.510831007E-1
3.495889900E+7	-9.601811071E-1	2.577793832E-1
3.589562600E+7	-9.581792106E-1	2.645166104E-1
3.683235300E+7	-9.560984858E-1	2.714975686E-1
3.776908000E+7	-9.540635366E-1	2.782599754E-1
3.870580700E+7	-9.520500253E-1	2.850796114E-1
3.964253400E+7	-9.499635287E-1	2.918354426E-1
4.057926100E+7	-9.477340139E-1	2.984777112E-1
4.151598800E+7	-9.455250733E-1	3.053064865E-1
4.245271500E+7	-9.431584523E-1	3.120090836E-1
4.338944200E+7	-9.409288890E-1	3.187774939E-1
4.432616900E+7	-9.385313085E-1	3.252647550E-1
4.526289600E+7	-9.360864565E-1	3.320303949E-1
